          Teff = 3500 K,  log g = 0.0,  [M/H] = +1.0

 bolometric           0    0.474 (0.0666)    0.595  0.180 (0.0183)    0.204  0.451 (0.0096)
 Stromgren      u     1    0.651 (0.1074)    0.862  0.317 (0.0169)    0.176  0.792 (0.0016)
                v     2    0.745 (0.0531)    0.817  0.108 (0.0265)    0.583  0.270 (0.0214)
                b     3    1.118 (0.1062)    0.846 -0.408 (0.0359)    1.729 -1.019 (0.0552)
                y     4    1.017 (0.0650)    0.844 -0.259 (0.0309)    1.405 -0.647 (0.0432)
 Johnson        U     5    0.656 (0.1011)    0.851  0.291 (0.0188)    0.219  0.728 (0.0048)
                B     6    1.017 (0.0673)    0.834 -0.274 (0.0351)    1.427 -0.684 (0.0480)
                V     7    1.007 (0.0635)    0.838 -0.254 (0.0317)    1.389 -0.636 (0.0438)
                R     8    0.833 (0.0227)    0.794 -0.059 (0.0292)    0.922 -0.148 (0.0321)
                I     9    0.661 (0.0564)    0.748  0.131 (0.0241)    0.465  0.326 (0.0178)
                J    10    0.487 (0.0648)    0.607  0.179 (0.0175)    0.218  0.448 (0.0092)
                K    11    0.308 (0.0943)    0.493  0.277 (0.0158)   -0.107  0.692 (0.0025)
                L    12    0.219 (0.0726)    0.358  0.208 (0.0150)   -0.092  0.519 (0.0051)
                M    13    0.119 (0.0473)    0.203  0.126 (0.0144)   -0.069  0.314 (0.0084)
                N    14    0.104 (0.0389)    0.171  0.101 (0.0128)   -0.047  0.252 (0.0080)
 Cousins        Rc   15    0.900 (0.0343)    0.806 -0.140 (0.0310)    1.110 -0.351 (0.0377)
                Ic   16    0.729 (0.0425)    0.780  0.078 (0.0249)    0.612  0.194 (0.0211)
 Bessell        UX   17    0.656 (0.1016)    0.852  0.293 (0.0186)    0.216  0.733 (0.0046)
 Bessell        BX   18    1.020 (0.0688)    0.835 -0.279 (0.0352)    1.439 -0.697 (0.0484)
 Bessell        B    19    1.016 (0.0671)    0.834 -0.273 (0.0351)    1.426 -0.682 (0.0480)
 Bessell        V    20    1.007 (0.0637)    0.838 -0.255 (0.0317)    1.390 -0.637 (0.0438)
 Bessell        R    21    0.895 (0.0331)    0.805 -0.135 (0.0308)    1.097 -0.337 (0.0373)
 Bessell        I    22    0.715 (0.0456)    0.775  0.090 (0.0245)    0.579  0.226 (0.0202)
 Tycho         TyB   23    0.943 (0.0387)    0.833 -0.165 (0.0327)    1.190 -0.412 (0.0405)
               TyV   24    1.023 (0.0705)    0.836 -0.281 (0.0332)    1.445 -0.703 (0.0466)
 Hipparchos    HIP   25    0.969 (0.0536)    0.823 -0.219 (0.0325)    1.298 -0.548 (0.0429)
 KEPLER              26    0.864 (0.0254)    0.801 -0.094 (0.0295)    1.005 -0.235 (0.0340)
 COROT SIS           27    0.818 (0.0222)    0.790 -0.043 (0.0282)    0.883 -0.108 (0.0303)
 COROT EXO           28    0.813 (0.0224)    0.789 -0.037 (0.0281)    0.869 -0.092 (0.0299)
 Geneva         U    29    0.651 (0.1071)    0.861  0.315 (0.0170)    0.178  0.789 (0.0019)
                B    30    0.973 (0.0496)    0.835 -0.208 (0.0334)    1.285 -0.520 (0.0432)
                B1   31    0.773 (0.0453)    0.826  0.080 (0.0266)    0.654  0.199 (0.0228)
                B2   32    1.040 (0.0751)    0.839 -0.302 (0.0354)    1.492 -0.754 (0.0496)
                V    33    1.008 (0.0630)    0.840 -0.252 (0.0313)    1.386 -0.630 (0.0433)
                V1   34    1.008 (0.0622)    0.842 -0.249 (0.0313)    1.382 -0.623 (0.0431)
                G    35    1.017 (0.0681)    0.838 -0.268 (0.0309)    1.420 -0.671 (0.0437)
 Vilnius        U    36    0.651 (0.1078)    0.863  0.318 (0.0169)    0.173  0.796 (0.0016)
                P    37    0.643 (0.1077)    0.853  0.315 (0.0179)    0.170  0.789 (0.0027)
                X    38    0.770 (0.0446)    0.820  0.075 (0.0271)    0.657  0.188 (0.0235)
                Y    39    1.108 (0.1031)    0.842 -0.399 (0.0368)    1.706 -0.997 (0.0557)
                Z    40    0.968 (0.0498)    0.829 -0.208 (0.0338)    1.279 -0.519 (0.0436)
                V    41    1.016 (0.0647)    0.844 -0.258 (0.0310)    1.403 -0.645 (0.0432)
                S    42    0.924 (0.0452)    0.800 -0.186 (0.0339)    1.204 -0.466 (0.0428)
 Milone         iz   43    0.562 (0.0751)    0.689  0.191 (0.0263)    0.275  0.478 (0.0171)
                iJ   44    0.485 (0.0597)    0.594  0.164 (0.0171)    0.240  0.409 (0.0095)
                iH   45    0.394 (0.0980)    0.589  0.293 (0.0138)   -0.045  0.733 (0.0006)
                iK   46    0.303 (0.0955)    0.490  0.280 (0.0159)   -0.116  0.700 (0.0024)
 YMS94         iz    47    0.562 (0.0752)    0.689  0.191 (0.0263)    0.275  0.478 (0.0171)
               iJ    48    0.485 (0.0597)    0.594  0.164 (0.0171)    0.240  0.409 (0.0095)
               iH    49    0.394 (0.0980)    0.590  0.293 (0.0138)   -0.045  0.732 (0.0006)
               iK    50    0.303 (0.0955)    0.490  0.280 (0.0159)   -0.116  0.700 (0.0024)
               iL    51    0.207 (0.0696)    0.339  0.198 (0.0149)   -0.090  0.495 (0.0055)
               iLp   52    0.194 (0.0658)    0.318  0.186 (0.0148)   -0.085  0.465 (0.0059)
               iM    53    0.113 (0.0462)    0.194  0.122 (0.0143)   -0.071  0.305 (0.0085)
               in    54    0.104 (0.0392)    0.172  0.102 (0.0127)   -0.049  0.256 (0.0079)
               iN    55    0.097 (0.0371)    0.160  0.095 (0.0127)   -0.044  0.236 (0.0082)
 Sloan DSS      u    56    0.645 (0.1085)    0.858  0.319 (0.0173)    0.166  0.798 (0.0020)
                g    57    1.030 (0.0720)    0.837 -0.289 (0.0345)    1.463 -0.722 (0.0482)
                r    58    0.954 (0.0513)    0.813 -0.210 (0.0331)    1.269 -0.526 (0.0432)
                i    59    0.744 (0.0380)    0.782  0.058 (0.0256)    0.656  0.146 (0.0228)
                z    60    0.648 (0.0601)    0.745  0.145 (0.0236)    0.430  0.363 (0.0166)
 HST STIS Ly_alpha   61    0.329 (0.0200)    0.290 -0.058 (0.0029)    0.416 -0.146 (0.0010)
            Fclear   62    0.078 (0.0139)    0.046 -0.048 (0.0015)    0.149 -0.119 (0.0038)
             Fsrf2   63    0.077 (0.0137)    0.045 -0.047 (0.0015)    0.147 -0.118 (0.0038)
              Fqtz   64    0.084 (0.0147)    0.050 -0.050 (0.0016)    0.159 -0.126 (0.0040)
              CIII   65    0.250 (0.0229)    0.202 -0.073 (0.0008)    0.360 -0.182 (0.0032)
              MgII   66    0.707 (0.0904)    0.899  0.288 (0.0032)    0.275  0.720 (0.0113)
            Nclear   67    0.809 (0.0370)    0.844  0.052 (0.0257)    0.731  0.130 (0.0232)
             Nsrf2   68    0.960 (0.0424)    0.841 -0.178 (0.0312)    1.227 -0.445 (0.0397)
              Nqtz   69    0.659 (0.1091)    0.878  0.329 (0.0136)    0.165  0.822 (0.0024)
             cn182   70    0.745 (0.0589)    0.834  0.134 (0.0247)    0.545  0.334 (0.0183)
             cn270   71    0.702 (0.0800)    0.874  0.257 (0.0016)    0.316  0.643 (0.0115)
            Oclear   72    0.781 (0.0259)    0.778 -0.004 (0.0274)    0.787 -0.010 (0.0276)
         Oclear-lp   73    0.751 (0.0320)    0.771  0.030 (0.0267)    0.706  0.075 (0.0252)
             [OII]   74    0.644 (0.1092)    0.858  0.321 (0.0175)    0.162  0.803 (0.0021)
            [OIII]   75    1.014 (0.0700)    0.819 -0.291 (0.0412)    1.451 -0.728 (0.0549)
 2MASS          J    76    0.485 (0.0610)    0.597  0.167 (0.0175)    0.235  0.417 (0.0098)
 2MASS          H    77    0.393 (0.0971)    0.587  0.291 (0.0136)   -0.043  0.727 (0.0007)
 2MASS          Ks   78    0.307 (0.0962)    0.495  0.282 (0.0159)   -0.116  0.705 (0.0023)
 SWASP               79    0.974 (0.0565)    0.820 -0.230 (0.0333)    1.320 -0.576 (0.0443)
 MOST                80    0.948 (0.0485)    0.815 -0.200 (0.0328)    1.248 -0.500 (0.0423)
 GAIA (2006)    G    81    0.838 (0.0224)    0.795 -0.065 (0.0287)    0.935 -0.162 (0.0318)
 GAIA (2010)    G    82    0.810 (0.0226)    0.789 -0.032 (0.0279)    0.857 -0.079 (0.0294)
 GAIA (2010)    BP   83    0.988 (0.0605)    0.825 -0.245 (0.0333)    1.356 -0.613 (0.0449)
 GAIA (2010)    RP   84    0.710 (0.0444)    0.765  0.083 (0.0255)    0.586  0.207 (0.0215)
 GAIA (2010)  G_RV   85    0.672 (0.0502)    0.739  0.100 (0.0268)    0.522  0.251 (0.0219)
