          Teff = 3500 K,  log g = 0.0,  [M/H] = +0.5

 bolometric           0    0.481 (0.0661)    0.601  0.180 (0.0176)    0.211  0.450 (0.0090)
 Stromgren      u     1    0.671 (0.0910)    0.842  0.257 (0.0188)    0.286  0.642 (0.0066)
                v     2    0.840 (0.0259)    0.771 -0.103 (0.0316)    0.994 -0.257 (0.0364)
                b     3    1.111 (0.1133)    0.822 -0.434 (0.0383)    1.762 -1.085 (0.0589)
                y     4    1.007 (0.0657)    0.833 -0.260 (0.0313)    1.397 -0.650 (0.0438)
 Johnson        U     5    0.697 (0.0742)    0.825  0.192 (0.0222)    0.409  0.480 (0.0131)
                B     6    1.035 (0.0867)    0.806 -0.343 (0.0379)    1.550 -0.859 (0.0542)
                V     7    0.994 (0.0616)    0.831 -0.245 (0.0311)    1.362 -0.612 (0.0428)
                R     8    0.834 (0.0227)    0.797 -0.056 (0.0288)    0.919 -0.141 (0.0315)
                I     9    0.637 (0.0574)    0.726  0.133 (0.0248)    0.437  0.333 (0.0184)
                J    10    0.486 (0.0598)    0.598  0.167 (0.0154)    0.235  0.418 (0.0076)
                K    11    0.319 (0.1001)    0.516  0.295 (0.0157)   -0.124  0.739 (0.0015)
                L    12    0.233 (0.0744)    0.377  0.215 (0.0141)   -0.089  0.538 (0.0038)
                M    13    0.126 (0.0452)    0.207  0.121 (0.0134)   -0.055  0.302 (0.0077)
                N    14    0.111 (0.0369)    0.175  0.097 (0.0113)   -0.035  0.243 (0.0067)
 Cousins        Rc   15    0.897 (0.0318)    0.813 -0.126 (0.0294)    1.087 -0.316 (0.0354)
                Ic   16    0.715 (0.0450)    0.770  0.083 (0.0262)    0.590  0.209 (0.0221)
 Bessell        UX   17    0.695 (0.0757)    0.827  0.198 (0.0219)    0.398  0.495 (0.0125)
 Bessell        BX   18    1.038 (0.0876)    0.807 -0.347 (0.0380)    1.558 -0.867 (0.0544)
 Bessell        B    19    1.035 (0.0867)    0.806 -0.343 (0.0379)    1.550 -0.859 (0.0542)
 Bessell        V    20    0.994 (0.0615)    0.831 -0.245 (0.0310)    1.361 -0.611 (0.0427)
 Bessell        R    21    0.893 (0.0308)    0.812 -0.121 (0.0293)    1.075 -0.304 (0.0352)
