  1    349.06      0.09      348.22      0.24
  2    411.50      0.04      411.11      0.09
  3    466.26      0.02      466.41     -0.03
  4    545.87      0.02      546.05     -0.03
  5    368.79      0.21      364.62      1.13
  6    441.28      0.45      440.21      0.24
  7    546.94      0.25      549.28     -0.43
  8    675.52      0.53      689.83     -2.12
  9    859.37      0.46      873.90     -1.69
 10   1216.45      0.53     1243.07     -2.19
 11   2140.88      0.13     2187.78     -2.19
 12   3376.27      0.06     3428.35     -1.54
 13   4894.50      0.39     5012.52     -2.41
 14   9213.54      0.16     9510.22     -3.22
 15    643.83      0.34      653.53     -1.51
 16    785.67      0.12      789.45     -0.48
 17    364.55      0.26      359.83      1.29
 18    442.80      0.44      441.91      0.20
 19    440.97      0.45      439.88      0.25
 20    547.69      0.25      550.04     -0.43
 21    645.15      0.37      655.50     -1.60
 22    799.56      0.16      804.66     -0.64
 23    422.54      0.31      419.63      0.69
 24    527.85      0.31      530.69     -0.54
 25    506.51      1.55      518.86     -2.44
 26    597.82      1.65      630.34     -5.44
 27    596.27      2.46      641.21     -7.54
 28    603.03      2.43      648.80     -7.59
 29    347.65      0.16      345.99      0.48
 30    424.61      0.37      421.78      0.67
 31    403.66      0.21      401.04      0.65
 32    447.67      0.11      447.30      0.08
 33    546.62      0.18      548.01     -0.26
 34    538.61      0.10      539.09     -0.09
 35    579.38      0.06      580.35     -0.17
 36    345.32      0.13      344.16      0.34
 37    375.08      0.08      373.60      0.40
 38    406.09      0.11      404.85      0.30
 39    465.52      0.04      465.97     -0.10
 40    515.67      0.04      515.85     -0.03
 41    543.66      0.03      543.89     -0.04
 42    651.07      0.05      652.66     -0.25
 43   1031.18      0.03     1032.94     -0.17
 44   1238.92      0.04     1240.96     -0.17
 45   1626.63      0.06     1631.02     -0.27
 46   2187.86      0.02     2194.54     -0.31
 47   1031.08      0.03     1032.83     -0.17
 48   1238.82      0.04     1240.89     -0.17
 49   1626.36      0.06     1630.85     -0.28
 50   2188.29      0.02     2195.01     -0.31
 51   3610.56      0.02     3621.88     -0.31
 52   3891.79      0.01     3902.00     -0.26
 53   4672.76      0.01     4674.14     -0.03
 54   9026.96      0.00     9033.53     -0.07
 55  10016.84      0.00    10017.00     -0.00
 56    355.08      0.23      351.57      0.99
 57    476.14      0.44      478.46     -0.49
 58    619.17      0.18      623.99     -0.78
 59    760.42      0.19      765.49     -0.67
 60    904.95      0.17      910.00     -0.56
 61    175.20      2.10      125.01     28.65
 62    160.32      0.91      139.22     13.16
 63    163.05      0.75      147.81      9.35
 64    169.53      0.47      160.26      5.47
 65    202.13      0.32      197.77      2.16
 66    280.46      0.01      280.26      0.07
 67    252.06      2.79      217.52     13.70
 68    263.88      3.28      225.19     14.66
 69    249.27      1.76      227.95      8.55
 70    249.46      3.82      193.10     22.60
 71    269.54      0.07      269.06      0.18
 72    589.24      3.80      645.74     -9.59
 73    714.36      1.20      748.49     -4.78
 74    373.93      0.01      373.77      0.04
 75    501.00      0.00      501.00      0.00
 76   1230.26      0.17     1238.93     -0.70
 77   1638.95      0.12     1648.87     -0.61
 78   2152.00      0.02     2163.61     -0.54
 79    539.31      1.18      554.52     -2.82
 80    554.28      1.28      573.55     -3.48
 81    581.09      2.43      621.50     -6.95
 82    608.63      2.43      654.81     -7.59
 83    524.99      1.34      536.85     -2.26
 84    775.62      0.69      794.95     -2.49
 85    860.49      0.02      860.54     -0.01
 86    229.76      0.06      229.94     -0.08
 87    250.56      0.06      249.94      0.25
 88    270.05      0.04      269.95      0.04
 89    290.42      0.05      289.62      0.28
 90    310.32      0.04      309.96      0.11
 91    330.04      0.02      329.96      0.02
 92    858.41      0.01      858.46     -0.01
 93    625.19      0.93      645.56     -3.26
 94    332.05      2.26      301.03      9.34
 95    755.96      1.11      788.32     -4.28
