          Teff = 3500 K,  log g = 0.0,  [M/H] = -2.5

 bolometric           0    0.433 (0.0777)    0.585  0.228 (0.0128)    0.090  0.570 (0.0019)
 Stromgren      u     1    0.671 (0.0017)    0.671  0.000 (0.0018)    0.672  0.000 (0.0018)
                v     2    0.683 (0.0086)    0.658 -0.038 (0.0065)    0.741 -0.095 (0.0082)
                b     3    0.719 (0.0319)    0.631 -0.132 (0.0168)    0.917 -0.330 (0.0229)
                y     4    0.765 (0.0503)    0.634 -0.196 (0.0192)    1.058 -0.489 (0.0284)
 Johnson        U     5    0.676 (0.0023)    0.673 -0.005 (0.0031)    0.684 -0.012 (0.0033)
                B     6    0.722 (0.0306)    0.638 -0.126 (0.0156)    0.910 -0.314 (0.0214)
                V     7    0.762 (0.0467)    0.641 -0.181 (0.0174)    1.032 -0.451 (0.0260)
                R     8    0.704 (0.0095)    0.686 -0.028 (0.0097)    0.746 -0.070 (0.0110)
                I     9    0.600 (0.0374)    0.678  0.117 (0.0043)    0.424  0.293 (0.0026)
                J    10    0.470 (0.0781)    0.633  0.244 (0.0059)    0.104  0.611 (0.0060)
                K    11    0.273 (0.1194)    0.498  0.337 (0.0257)   -0.232  0.842 (0.0095)
                L    12    0.205 (0.0904)    0.375  0.254 (0.0198)   -0.175  0.634 (0.0076)
                M    13    0.176 (0.0584)    0.287  0.166 (0.0128)   -0.074  0.416 (0.0050)
                N    14    0.124 (0.0411)    0.201  0.117 (0.0092)   -0.051  0.292 (0.0037)
 Cousins        Rc   15    0.727 (0.0201)    0.677 -0.075 (0.0115)    0.840 -0.188 (0.0151)
                Ic   16    0.651 (0.0207)    0.692  0.062 (0.0051)    0.558  0.154 (0.0029)
 Bessell        UX   17    0.677 (0.0022)    0.673 -0.005 (0.0030)    0.684 -0.013 (0.0032)
 Bessell        BX   18    0.722 (0.0309)    0.638 -0.127 (0.0157)    0.913 -0.318 (0.0216)
 Bessell        B    19    0.721 (0.0303)    0.638 -0.125 (0.0155)    0.909 -0.312 (0.0213)
 Bessell        V    20    0.762 (0.0469)    0.641 -0.181 (0.0174)    1.033 -0.452 (0.0260)
 Bessell        R    21    0.726 (0.0191)    0.678 -0.071 (0.0114)    0.833 -0.178 (0.0148)
 Bessell        I    22    0.640 (0.0241)    0.690  0.074 (0.0047)    0.529  0.185 (0.0024)
 Tycho         TyB   23    0.697 (0.0184)    0.645 -0.078 (0.0111)    0.815 -0.195 (0.0147)
